ID	yeasTSSdb (+/- 100bp)	>10% overlap with predicted UTRs (Nagalakshmi 2008)	chr	db	type	end5	end3	length	strand	gene_id_up	strand_up	up_gene_name	gene_id_down	strand_down	down_gene_name	baseMean_wt	log2FoldChange_wt	TPMs_wt	lfcSE_wt	pvalue_wt	padj_wt	baseMean_kar4	log2FoldChange_kar4	TPMs_kar4	lfcSE_kar4	pvalue_kar4	padj_kar4	Kar4 dependent_kar4	baseMean_ste12	log2FoldChange_ste12	TPMs_ste12	lfcSE_ste12	pvalue_ste12	padj_ste12	Ste12 dependent_ste12	Max(|Log2FC|)_ste12
MSTRG.99			IV	StringTie	transcript	439364	439667	303	-	YDL007W	+	RPT2	YDL006W	+	PTC1	27.48	-0.20	1249.93	0.24	2.54E-01	4.73E-01	23.41	0.02	1024.25	0.28	9.30E-01	9.59E-01		51.59	0.05	1471.45	0.16	6.44E-01	8.72E-01		0.2001815
MSTRG.453	CP_supported		XII	StringTie	transcript	392921	393200	279	-	YLR124W	+	YLR124W	YLR125W	+	YLR125W	9.12	-0.23	456.44	0.35	2.56E-01	4.76E-01	11.58	0.01	567.57	0.35	9.62E-01	9.74E-01		9.84	-0.04	328.37	0.22	7.14E-01	9.02E-01		0.2294101
MSTRG.262			VI	StringTie	transcript	261712	263948	2236	-	NA	NA	NA	YFR056C	-	YFR056C	142.26	0.14	896.95	0.13	2.59E-01	4.80E-01	125.91	-0.17	798.27	0.15	2.15E-01	3.60E-01		191.80	-0.25	821.36	0.13	2.04E-02	1.53E-01		0.24778249
MSTRG.360	CP_supported		VIII	StringTie	transcript	483946	484586	640	-	YHR188C	-	GPI16	YHR190W	+	ERG9	81.49	0.16	1725.69	0.16	2.65E-01	4.90E-01	86.59	0.28	1635.90	0.17	9.06E-02	1.92E-01		180.27	0.30	2409.93	0.15	1.12E-02	9.93E-02		0.296249354
MSTRG.281	CP_supported		VII	StringTie	transcript	272595	272809	214	-	YGL125W	+	MET13	NA	NA	NA	11.62	-0.22	809.19	0.31	2.67E-01	4.91E-01	19.43	0.47	1345.13	0.30	6.92E-02	1.57E-01		9.59	-0.22	431.60	0.26	3.66E-02	2.19E-01		0.466949315
MSTRG.516	CP_supported		XIII	StringTie	transcript	772664	774028	1364	-	YMR250W	+	GAD1	YMR251W-A	+	HOR7	68.60	-0.17	699.20	0.18	2.70E-01	4.96E-01	46.22	-1.18	459.69	0.26	2.18E-07	1.83E-06	Y	121.46	-0.27	838.32	0.15	1.87E-02	1.47E-01		1.181255471
MSTRG.191	CP_supported		V	StringTie	transcript	7763	8153	390	+	YEL073C	-	YEL073C	NA	NA	NA	10.21	0.22	375.69	0.33	2.72E-01	4.99E-01	6.60	0.00	274.50	0.41	9.93E-01	9.93E-01		17.33	0.15	400.42	0.21	1.94E-01	5.39E-01		0.21722651
MSTRG.441	CP_supported		XII	StringTie	transcript	92796	94447	1651	+	tP(UGG)L	+	tP(UGG)L	YLL025W	+	PAU17	99.61	0.15	872.86	0.15	2.74E-01	5.00E-01	113.88	0.13	981.59	0.16	3.86E-01	5.43E-01		130.30	-0.07	733.03	0.13	4.63E-01	7.59E-01		0.14694078
MSTRG.506			XIII	StringTie	transcript	573439	573891	452	-	YMR158C-A	-	YMR158C-A	YMR158W-B	+	YMR158W-B	13.27	-0.21	386.02	0.31	2.77E-01	5.03E-01	19.05	-0.31	555.68	0.30	2.22E-01	3.70E-01		25.89	-0.17	551.73	0.20	1.51E-01	4.88E-01		0.31039274
MSTRG.113			IV	StringTie	transcript	814321	814582	261	-	YDR175C	-	RSM24	NA	NA	NA	6.52	-0.23	383.34	0.39	2.77E-01	5.03E-01	6.07	-0.36	309.93	0.45	2.54E-01	4.08E-01		10.14	0.01	370.77	0.22	9.04E-01	9.83E-01		0.357226537
MSTRG.445	CP_supported		XII	StringTie	transcript	222287	222673	386	+	YLR036C	-	YLR036C	YLR037C	-	PAU23	15.44	-0.21	583.89	0.31	2.78E-01	5.04E-01	15.40	-0.38	538.82	0.33	1.63E-01	2.92E-01		29.22	0.01	736.68	0.19	9.31E-01	9.91E-01		0.375176093
MSTRG.253			VI	StringTie	transcript	98241	98951	710	+	YFL021W	+	GAT1	YFL020C	-	PAU5	7.47	0.22	149.96	0.36	2.80E-01	5.04E-01	8.46	0.02	155.98	0.39	9.50E-01	9.69E-01		24.93	0.10	329.55	0.19	3.61E-01	6.61E-01		0.22137943
MSTRG.434			XI	StringTie	transcript	658337	660601	2264	+	YKR104W	+	YKR104W	YKR106W	+	GEX2	42.33	-0.18	249.59	0.20	2.80E-01	5.04E-01	44.98	-0.70	261.48	0.22	5.53E-04	2.55E-03	Y	93.40	0.03	404.98	0.14	7.39E-01	9.13E-01		0.695821715
MSTRG.361			VIII	StringTie	transcript	516665	517086	421	-	YHR207C	-	SET5	YHR208W	+	BAT1	3.02	0.25	107.43	0.51	2.83E-01	5.08E-01	1.54	-0.15	58.56	0.62	6.27E-01	7.50E-01		7.62	0.10	173.81	0.23	2.89E-01	1.00E+00		0.24677288
MSTRG.279	CP_supported		VII	StringTie	transcript	193482	193685	203	+	YGL164C	-	YRB30	YGL163C	-	RAD54	3.03	-0.24	225.51	0.50	2.86E-01	5.12E-01	3.39	0.19	175.84	0.50	5.42E-01	6.81E-01		3.44	-0.09	74.58	0.26	1.54E-01	1.00E+00		0.2435625
MSTRG.378	CP_supported		X	StringTie	transcript	180522	181133	611	+	YJL127W-A	+	YJL127W-A	YJL127C-B	-	YJL127C-B	11.60	-0.21	289.43	0.32	2.89E-01	5.16E-01	14.16	-0.51	309.10	0.36	7.41E-02	1.66E-01		25.70	-0.08	380.82	0.19	5.02E-01	7.87E-01		0.506964428
MSTRG.658	CP_supported		XVI	StringTie	transcript	445161	445604	443	-	YPL059W	+	GRX5	YPL058C	-	PDR12	113.94	-0.14	3638.04	0.15	2.91E-01	5.18E-01	117.56	-0.45	4167.50	0.16	3.27E-03	1.20E-02		177.35	-0.32	4295.98	0.15	7.26E-03	7.75E-02		0.451710538
MSTRG.683			XVI	StringTie	transcript	926964	931331	4367	-	YPR194C	-	OPT2	YPR196W	+	YPR196W	90.83	-0.15	293.06	0.16	2.93E-01	5.19E-01	99.02	-0.45	307.86	0.16	2.69E-03	1.01E-02		229.86	-0.14	481.06	0.13	1.68E-01	5.14E-01		0.452000345
MSTRG.340	CP_supported		VIII	StringTie	transcript	98450	98981	531	+	YHL006C	-	SHU1	YHL004W	+	MRP4	24.30	-0.18	631.86	0.24	2.94E-01	5.21E-01	22.19	-0.73	537.05	0.31	4.91E-03	1.75E-02		32.61	0.13	621.32	0.19	2.47E-01	5.79E-01		0.726221811
MSTRG.652	CP_supported		XVI	StringTie	transcript	296930	297313	383	-	YPL136W	+	YPL136W	YPL135W	+	ISU1	26.60	0.18	912.33	0.23	2.96E-01	5.21E-01	28.68	-0.14	978.83	0.25	5.28E-01	6.73E-01		77.69	0.38	1910.58	0.17	2.49E-03	3.72E-02		0.378384531
MSTRG.654	CP_supported		XVI	StringTie	transcript	339011	339358	347	-	tM(CAU)P	-	tM(CAU)P	YPL111W	+	CAR1	4.14	0.23	142.26	0.45	2.96E-01	5.21E-01	3.88	0.04	153.97	0.48	8.98E-01	9.42E-01		2.90	-0.02	91.71	0.25	7.75E-01	1.00E+00		0.2301418
MSTRG.655			XVI	StringTie	transcript	347662	349074	1412	-	YPL109C	-	YPL109C	YPL107W	+	YPL107W	22.85	0.18	227.51	0.25	3.02E-01	5.30E-01	21.06	0.44	198.49	0.30	8.36E-02	1.79E-01		39.44	0.18	270.76	0.19	1.24E-01	4.29E-01		0.435376177
MSTRG.135			IV	StringTie	transcript	1459625	1461611	1986	+	YDR505C	-	PSP1	tL(CAA)D	-	tL(CAA)D	56.65	-0.16	454.23	0.19	3.11E-01	5.35E-01	48.91	-0.06	346.27	0.21	7.39E-01	8.31E-01		121.72	0.26	596.72	0.15	2.74E-02	1.77E-01		0.256045834
MSTRG.294	CP_supported		VII	StringTie	transcript	577488	579324	1836	-	YGR041W	+	BUD9	YGR042W	+	MTE1	115.02	0.13	876.09	0.14	3.11E-01	5.35E-01	132.31	0.23	983.09	0.15	1.09E-01	2.20E-01		181.61	0.14	929.98	0.13	1.54E-01	4.90E-01		0.225715453
MSTRG.205	CP_supported		V	StringTie	transcript	173547	173813	266	+	YER010C	-	YER010C	YER011W	+	TIR1	3.86	-0.22	163.24	0.45	3.10E-01	5.35E-01	7.29	-0.31	291.47	0.43	3.07E-01	4.61E-01		9.79	-0.10	329.35	0.23	3.14E-01	6.25E-01		0.313080171
MSTRG.212			V	StringTie	transcript	264123	264471	348	+	YER054C	-	GIP2	YER055C	-	HIS1	7.45	-0.21	300.81	0.38	3.07E-01	5.35E-01	7.89	0.11	278.41	0.39	7.18E-01	8.14E-01		23.20	0.10	650.34	0.20	3.57E-01	6.58E-01		0.2108679
MSTRG.617	CP_supported	YOR204W_3UTR	XV	StringTie	transcript	725188	725433	245	+	YOR204W	+	DED1	YOR205C	-	GEP3	16.94	-0.19	864.34	0.29	3.11E-01	5.35E-01	21.54	-0.88	949.95	0.37	2.49E-03	9.49E-03	Y	26.11	-0.06	677.03	0.21	5.62E-01	8.16E-01		0.879040858
MSTRG.134	CP_supported		IV	StringTie	transcript	1411566	1411822	256	+	YDR476C	-	YDR476C	YDR477W	+	SNF1	8.49	-0.20	467.91	0.35	3.10E-01	5.35E-01	10.94	-0.31	568.87	0.37	2.78E-01	4.31E-01		18.66	0.02	703.35	0.20	8.52E-01	9.75E-01		0.311633797
MSTRG.284			VII	StringTie	transcript	344731	345257	526	+	YGL090W	+	LIF1	YGL088W	+	YGL088W	15.37	-0.19	377.06	0.28	3.11E-01	5.35E-01	13.44	-0.02	365.86	0.34	9.48E-01	9.69E-01		31.18	0.00	572.45	0.18	9.81E-01	1.00E+00		0.1883471
MSTRG.206	CP_supported		V	StringTie	transcript	177156	177634	478	-	tE(UUC)E1	+	tE(UUC)E1	YER012W	+	PRE1	20.36	-0.18	627.42	0.25	3.15E-01	5.41E-01	22.36	-0.22	660.98	0.27	3.54E-01	5.10E-01		34.27	-0.05	685.32	0.18	6.32E-01	8.64E-01		0.220916596
MSTRG.325		YGR251W_3UTR	VII	StringTie	transcript	996280	996574	294	+	YGR251W	+	NOP19	YGR252W	+	GCN5	111.60	-0.13	5359.96	0.15	3.31E-01	5.66E-01	136.87	-0.37	6163.61	0.14	7.11E-03	2.39E-02		155.89	-0.12	5153.88	0.13	2.29E-01	5.63E-01		0.365646804
MSTRG.566	CP_supported		XIV	StringTie	transcript	742329	742542	213	+	YNR060W	+	FRE4	YNR061C	-	YNR061C	17.31	0.18	1239.81	0.27	3.33E-01	5.68E-01	30.19	0.78	1915.20	0.27	1.15E-03	4.90E-03	Y	12.94	0.01	554.71	0.21	9.31E-01	9.91E-01		0.775637108
MSTRG.402			X	StringTie	transcript	741784	742629	845	+	NA	NA	NA	YJR161C	-	COS5	7.84	0.19	125.45	0.35	3.34E-01	5.69E-01	8.70	0.50	129.28	0.41	9.87E-02	2.04E-01		12.76	0.02	147.27	0.21	8.50E-01	9.75E-01		0.503038611
MSTRG.565	CP_supported		XIV	StringTie	transcript	741439	742324	885	-	YNR060W	+	FRE4	YNR061C	-	YNR061C	60.34	0.14	981.00	0.18	3.41E-01	5.79E-01	70.03	0.92	1065.86	0.20	3.45E-07	2.83E-06	Y	76.68	-0.11	837.78	0.16	3.03E-01	6.22E-01		0.921205509
MSTRG.39	CP_supported		II	StringTie	transcript	431457	431808	351	-	YBR093C	-	PHO5	YBR094W	+	PBY1	6.41	0.19	250.53	0.38	3.42E-01	5.80E-01	6.24	0.27	249.45	0.43	3.79E-01	5.37E-01		8.53	-0.07	256.69	0.23	4.77E-01	1.00E+00		0.27022431
MSTRG.153	CP_supported		IX	StringTie	transcript	216152	216504	352	-	YIL077C	-	YIL077C	YIL076W	+	SEC28	91.44	0.13	3854.81	0.16	3.47E-01	5.85E-01	94.54	0.19	3804.39	0.16	2.20E-01	3.68E-01		124.42	-0.06	3438.60	0.13	5.29E-01	8.00E-01		0.185909556
MSTRG.604	CP_supported		XV	StringTie	transcript	443834	444310	476	-	YOR062C	-	YOR062C	YOR063W	+	RPL3	7.00	0.19	171.46	0.38	3.47E-01	5.85E-01	5.03	0.08	157.26	0.44	8.04E-01	8.80E-01		14.91	0.05	314.89	0.21	6.23E-01	8.59E-01		0.19269456
MSTRG.189			Mito	StringTie	transcript	80289	80710	421	+	Q0275	+	COX3	NA	NA	NA	41.77	0.16	1399.72	0.22	3.49E-01	5.86E-01	31.02	0.02	998.03	0.25	9.46E-01	9.69E-01		116.94	0.47	2401.87	0.18	2.88E-04	8.76E-03	Y	0.473919875
MSTRG.63			III	StringTie	transcript	152043	152828	785	-	YCR018C-A	-	YCR018C-A	YCR019W	+	MAK32	20.96	-0.17	355.19	0.25	3.52E-01	5.86E-01	19.46	-0.49	369.29	0.30	5.26E-02	1.27E-01		33.32	-0.13	401.06	0.19	2.75E-01	5.99E-01		0.491450118
MSTRG.106	CP_supported		IV	StringTie	transcript	593146	593457	311	-	YDR073W	+	SNF11	YDR074W	+	TPS2	8.06	0.19	295.30	0.35	3.51E-01	5.86E-01	12.03	0.02	526.37	0.34	9.29E-01	9.59E-01		15.22	-0.10	482.33	0.22	3.28E-01	6.33E-01		0.18682826
MSTRG.391			X	StringTie	transcript	619869	620613	744	+	YJR102C	-	VPS25	YJR103W	+	URA8	7.31	-0.19	131.53	0.35	3.51E-01	5.86E-01	8.31	0.06	150.14	0.42	8.42E-01	9.02E-01		12.43	0.00	159.94	0.21	9.99E-01	1.00E+00		0.1871747
MSTRG.213	CP_supported		V	StringTie	transcript	268416	268829	413	-	YER056C	-	FCY2	YER056C-A	-	RPL34A	15.66	-0.17	493.63	0.27	3.55E-01	5.90E-01	16.79	-0.58	559.92	0.33	3.08E-02	8.00E-02		24.95	-0.25	556.61	0.22	3.95E-02	2.28E-01		0.581561141
MSTRG.171			Mito	StringTie	transcript	12108	12893	785	+	Q0032	+	Q0032	Q0045	+	COX1	11.30	0.18	194.60	0.31	3.57E-01	5.91E-01	14.23	0.04	253.42	0.32	8.92E-01	9.40E-01		42.99	0.51	507.05	0.23	4.00E-04	1.05E-02		0.506155504
MSTRG.567	CP_supported		XIV	StringTie	transcript	743793	746611	2818	+	YNR061C	-	YNR061C	YNR063W	+	YNR063W	196.45	-0.11	954.10	0.13	3.57E-01	5.91E-01	240.41	0.02	1212.56	0.12	8.59E-01	9.12E-01		304.76	-0.01	1010.27	0.10	8.94E-01	9.83E-01		0.1079978
MSTRG.170			Mito	StringTie	transcript	10578	10910	332	+	tW(UCA)Q	+	tW(UCA)Q	Q0032	+	Q0032	128.35	-0.13	5179.57	0.17	3.60E-01	5.92E-01	118.16	-0.18	5096.84	0.16	2.36E-01	3.86E-01		372.72	0.49	10160.80	0.14	3.58E-05	2.18E-03	Y	0.48856623
MSTRG.84	CP_supported		IV	StringTie	transcript	106534	106949	415	-	YDL197C	-	ASF2	YDL195W	+	SEC31	21.08	-0.16	657.76	0.25	3.60E-01	5.92E-01	21.99	-0.11	743.17	0.27	6.58E-01	7.74E-01		39.95	0.15	937.81	0.18	1.95E-01	5.39E-01		0.1642214
MSTRG.544	CP_supported		XIV	StringTie	transcript	444878	445321	443	+	YNL096C	-	RPS7B	NA	NA	NA	158.33	-0.11	4958.75	0.13	3.64E-01	5.94E-01	275.91	1.11	8870.40	0.13	7.22E-19	2.15E-17	Y	103.74	0.12	2155.13	0.15	2.75E-01	5.99E-01		1.109364451
MSTRG.149			IX	StringTie	transcript	34708	37212	2504	+	YIL164C	-	NIT1	YIL162W	+	SUC2	99.78	0.12	584.76	0.15	3.65E-01	5.94E-01	119.41	0.33	677.33	0.16	2.84E-02	7.56E-02		153.06	0.10	621.55	0.13	3.35E-01	6.35E-01		0.330663822
MSTRG.331			VII	StringTie	transcript	1072641	1073172	531	+	YGR288W	+	MAL13	YGR289C	-	MAL11	8.81	0.18	210.25	0.34	3.65E-01	5.94E-01	12.46	0.22	315.70	0.34	4.20E-01	5.77E-01		23.43	0.09	435.15	0.20	4.29E-01	7.32E-01		0.220803776
MSTRG.609	CP_supported		XV	StringTie	transcript	550380	550687	307	-	YOR119C	-	RIO1	YOR120W	+	GCY1	8.15	-0.18	381.23	0.34	3.64E-01	5.94E-01	9.16	-0.45	398.06	0.40	1.30E-01	2.49E-01		18.27	0.01	591.68	0.20	9.56E-01	9.92E-01		0.453163485
MSTRG.309			VII	StringTie	transcript	774449	774826	377	-	tA(AGC)G	+	tA(AGC)G	YGR143W	+	SKN1	4.33	0.19	163.71	0.42	3.70E-01	6.01E-01	1.98	-0.12	53.37	0.58	6.93E-01	8.02E-01		10.27	0.07	288.58	0.23	4.87E-01	7.76E-01		0.18876088
MSTRG.158			IX	StringTie	transcript	303120	303536	416	+	YIL028W	+	YIL028W	YIL027C	-	EMC5	14.82	0.16	492.53	0.28	3.76E-01	6.09E-01	15.05	0.65	463.01	0.35	1.99E-02	5.62E-02		31.18	0.04	767.73	0.18	7.08E-01	9.00E-01		0.654761488
MSTRG.464			XII	StringTie	transcript	566721	567744	1023	+	YLR213C	-	CRR1	YLR214W	+	FRE1	14.28	-0.16	174.67	0.29	3.84E-01	6.19E-01	12.86	-0.28	181.11	0.34	3.06E-01	4.61E-01		40.89	0.40	373.06	0.21	2.94E-03	4.25E-02		0.401296954
MSTRG.226		YER131W_5UTR	V	StringTie	transcript	422991	423920	929	+	YER130C	-	COM2	YER131W	+	RPS26B	35.63	-0.14	519.98	0.21	3.86E-01	6.19E-01	41.61	-0.80	617.72	0.24	1.72E-04	9.18E-04	Y	59.54	-0.15	626.90	0.17	1.83E-01	5.30E-01		0.79864202
MSTRG.288	CP_supported		VII	StringTie	transcript	422090	422918	828	+	NA	NA	NA	tL(CAA)G2	+	tL(CAA)G2	23.31	0.15	420.02	0.24	3.86E-01	6.19E-01	31.82	0.40	506.23	0.26	8.23E-02	1.78E-01		20.49	-0.08	219.84	0.20	4.80E-01	7.75E-01		0.398654377
MSTRG.222	CP_supported		V	StringTie	transcript	361902	362194	292	-	YER101C	-	AST2	YER102W	+	RPS8A	7.25	0.17	337.92	0.35	3.87E-01	6.19E-01	6.59	0.28	355.52	0.42	3.51E-01	5.09E-01		11.82	-0.01	386.18	0.21	9.52E-01	9.92E-01		0.28464145
MSTRG.175			Mito	StringTie	transcript	34934	35181	247	+	NA	NA	NA	tE(UUC)Q	+	tE(UUC)Q	3.41	-0.19	168.46	0.47	3.86E-01	6.19E-01	2.94	-0.18	178.90	0.52	5.70E-01	7.06E-01		7.49	0.05	212.99	0.23	5.38E-01	1.00E+00		0.1883118
MSTRG.638	CP_supported		XVI	StringTie	transcript	29497	29841	344	-	YPL272C	-	PBI1	YPL271W	+	ATP15	16.02	-0.16	694.46	0.27	3.89E-01	6.20E-01	18.05	-0.21	699.36	0.31	4.23E-01	5.80E-01		30.47	0.00	851.28	0.18	9.99E-01	1.00E+00		0.207250622
MSTRG.130	CP_supported		IV	StringTie	transcript	1174480	1174889	409	+	YDR349C	-	YPS7	tM(CAU)D	+	tM(CAU)D	56.85	0.13	1990.76	0.18	3.95E-01	6.27E-01	62.43	0.09	2164.74	0.18	6.15E-01	7.43E-01		76.83	-0.03	1996.09	0.16	8.08E-01	9.67E-01		0.12827953
MSTRG.418	CP_supported		XI	StringTie	transcript	308316	308767	451	-	tV(AAC)K1	-	tV(AAC)K1	YKL068W-A	+	YKL068W-A	10.25	0.16	298.44	0.31	3.99E-01	6.32E-01	9.15	-0.24	294.47	0.38	4.08E-01	5.65E-01		19.56	0.13	442.22	0.21	2.37E-01	5.67E-01		0.240886422
MSTRG.363	CP_supported		VIII	StringTie	transcript	523052	523741	689	+	YHR210C	-	YHR210C	NA	NA	NA	82.52	-0.12	1623.26	0.16	4.04E-01	6.39E-01	88.30	-0.02	1818.03	0.17	8.79E-01	9.28E-01		154.07	0.10	2176.73	0.14	3.34E-01	6.35E-01		0.1176477
MSTRG.518	CP_supported		XIII	StringTie	transcript	807743	808140	397	-	YMR271C	-	URA10	tQ(CUG)M	-	tQ(CUG)M	57.64	-0.13	1970.96	0.18	4.05E-01	6.40E-01	61.22	-0.32	2152.76	0.19	7.69E-02	1.71E-01		81.40	-0.12	1883.91	0.15	2.63E-01	5.89E-01		0.320736474
MSTRG.131			IV	StringTie	transcript	1273588	1273855	267	+	YDR402C	-	DIT2	YDR403W	+	DIT1	6.89	0.16	407.43	0.35	4.13E-01	6.50E-01	5.13	0.64	272.38	0.56	6.78E-02	1.55E-01		8.14	-0.05	258.33	0.23	5.86E-01	1.00E+00		0.635642479
MSTRG.320	CP_supported		VII	StringTie	transcript	968826	969184	358	+	YGR238C	-	KEL2	YGR239C	-	PEX21	67.03	-0.12	2929.94	0.18	4.15E-01	6.52E-01	71.55	0.20	2751.31	0.19	2.53E-01	4.08E-01		84.97	0.00	2378.70	0.14	9.89E-01	1.00E+00		0.199219399
MSTRG.292			VII	StringTie	transcript	524833	525209	376	-	YGR018C	-	YGR018C	YGR019W	+	UGA1	4.87	-0.17	179.44	0.40	4.20E-01	6.54E-01	5.83	0.19	177.54	0.43	5.31E-01	6.73E-01		11.30	-0.19	299.05	0.24	7.26E-02	3.24E-01		0.194555758
MSTRG.260	CP_supported		VI	StringTie	transcript	255808	256079	271	+	YFR053C	-	HXK1	NA	NA	NA	9.51	0.16	418.41	0.33	4.20E-01	6.54E-01	7.41	0.20	345.79	0.40	5.07E-01	6.56E-01		12.06	-0.11	454.08	0.22	2.85E-01	6.00E-01		0.197424653
MSTRG.629	CP_supported		XV	StringTie	transcript	995022	995453	431	+	YOR351C	-	MEK1	NA	NA	NA	30.11	-0.14	1012.58	0.22	4.19E-01	6.54E-01	25.08	0.01	785.36	0.27	9.52E-01	9.69E-01		52.54	0.08	1182.93	0.16	4.87E-01	7.76E-01		0.13592
MSTRG.681			XVI	StringTie	transcript	840158	840647	489	+	YPR156C	-	TPO3	YPR157W	+	TDA6	15.37	-0.15	458.40	0.27	4.21E-01	6.54E-01	12.41	-0.54	339.44	0.37	6.30E-02	1.46E-01		26.51	-0.02	530.82	0.18	8.71E-01	9.81E-01		0.53850535
MSTRG.201	CP_supported		V	StringTie	transcript	110588	111077	489	-	YEL023C	-	YEL023C	YEL022W	+	GEA2	38.55	-0.13	1111.25	0.21	4.24E-01	6.58E-01	33.60	-0.08	959.63	0.23	7.19E-01	8.14E-01		62.68	-0.07	1202.03	0.17	5.31E-01	8.00E-01		0.130424
MSTRG.324	CP_supported		VII	StringTie	transcript	994228	995316	1088	+	YGR250C	-	RIE1	YGR251W	+	NOP19	70.34	-0.12	896.94	0.17	4.27E-01	6.60E-01	64.64	-0.22	856.30	0.18	1.96E-01	3.34E-01		96.66	-0.13	854.95	0.14	2.11E-01	5.49E-01		0.222793078
MSTRG.38			II	StringTie	transcript	419468	419684	216	+	YBR085C-A	-	YBR085C-A	YBR086C	-	IST2	11.12	0.15	757.74	0.30	4.30E-01	6.63E-01	10.71	0.26	642.69	0.36	3.63E-01	5.19E-01		16.56	0.07	743.85	0.20	5.10E-01	7.89E-01		0.25748806
MSTRG.648			XVI	StringTie	transcript	227717	228137	420	-	YPL171C	-	OYE3	YPL170W	+	DAP1	5.66	0.16	223.56	0.38	4.31E-01	6.63E-01	6.16	0.56	172.31	0.49	9.04E-02	1.92E-01		9.22	0.13	204.29	0.24	1.85E-01	1.00E+00		0.557514702
MSTRG.180			Mito	StringTie	transcript	53119	53969	850	-	NA	NA	NA	Q0144	+	Q0144	2.99	-0.17	37.25	0.47	4.33E-01	6.65E-01	4.92	0.10	48.97	0.48	7.40E-01	8.31E-01		13.75	0.02	140.58	0.21	8.84E-01	9.81E-01		0.1689038
MSTRG.67	CP_supported		III	StringTie	transcript	178907	179144	237	-	snR189	-	snR189	YCR032W	+	BPH1	4.90	-0.16	343.72	0.40	4.34E-01	6.65E-01	2.85	-0.29	177.03	0.55	3.62E-01	5.19E-01		6.88	-0.07	277.50	0.23	4.52E-01	1.00E+00		0.293293265
MSTRG.505	CP_supported		XIII	StringTie	transcript	545299	545715	416	-	YMR138W	+	CIN4	YMR139W	+	RIM11	6.51	-0.16	224.81	0.37	4.38E-01	6.68E-01	6.78	-0.32	233.45	0.45	3.03E-01	4.59E-01		16.90	-0.09	399.63	0.21	4.11E-01	7.15E-01		0.321179752
MSTRG.193			V	StringTie	transcript	14605	16274	1669	-	YEL072W	+	RMD6	YEL071W	+	DLD3	35.94	-0.13	268.16	0.21	4.38E-01	6.68E-01	32.56	-0.54	257.63	0.25	1.31E-02	3.96E-02		69.59	-0.05	436.49	0.15	6.55E-01	8.74E-01		0.543661234
MSTRG.408			XI	StringTie	transcript	92029	92544	515	-	YKL187C	-	FAT3	YKL186C	-	MTR2	8.99	0.14	263.58	0.32	4.50E-01	6.83E-01	10.51	0.28	244.97	0.37	3.39E-01	4.98E-01		21.63	-0.11	383.99	0.20	3.14E-01	6.25E-01		0.275134132
MSTRG.18	CP_supported		II	StringTie	transcript	8512	8809	297	+	YBL108W	+	YBL108W	YBL107W-A	+	YBL107W-A	7.70	-0.15	358.60	0.34	4.50E-01	6.83E-01	7.26	-0.25	309.43	0.41	4.05E-01	5.64E-01		13.42	-0.06	493.60	0.22	5.44E-01	8.04E-01		0.249806578
MSTRG.255	CP_supported		VI	StringTie	transcript	110509	111953	1444	-	YFL012W-A	+	YFL012W-A	YFL011W	+	HXT10	20.16	-0.13	209.30	0.25	4.55E-01	6.88E-01	19.09	-0.36	178.28	0.30	1.50E-01	2.74E-01		34.14	0.03	230.62	0.17	7.92E-01	9.56E-01		0.362430303
MSTRG.192			V	StringTie	transcript	8316	13341	5025	-	YEL073C	-	YEL073C	YEL072W	+	RMD6	128.94	-0.09	369.69	0.14	4.61E-01	6.96E-01	114.20	-0.45	317.40	0.15	1.61E-03	6.62E-03	Y	202.01	-0.06	389.84	0.12	5.25E-01	7.98E-01		0.453437823
MSTRG.305	CP_supported		VII	StringTie	transcript	738446	739056	610	+	YGR123C	-	PPT1	tI(AAU)G	+	tI(AAU)G	15.00	-0.13	355.74	0.28	4.67E-01	7.03E-01	14.08	-0.84	302.90	0.38	4.85E-03	1.74E-02		22.69	-0.12	374.50	0.20	2.90E-01	6.07E-01		0.837184755
MSTRG.163			IX	StringTie	transcript	424662	425761	1099	-	YIR038C	-	GTT1	NA	NA	NA	3.03	0.15	41.82	0.45	4.68E-01	7.03E-01	4.32	-0.35	49.75	0.49	2.73E-01	4.26E-01		6.17	-0.04	49.54	0.23	6.26E-01	1.00E+00		0.351518056
MSTRG.543	CP_supported		XIV	StringTie	transcript	405745	408066	2321	-	YNL118C	-	DCP2	YNL116W	+	DMA2	65.68	-0.10	407.15	0.17	4.70E-01	7.04E-01	70.67	0.09	443.70	0.18	5.87E-01	7.19E-01		132.10	0.22	588.80	0.15	4.52E-02	2.53E-01		0.223319998
MSTRG.598	CP_supported		XV	StringTie	transcript	371039	371389	350	-	YOR020C	-	HSP10	YOR020W-A	+	YOR020W-A	35.91	-0.12	1494.73	0.21	4.71E-01	7.04E-01	34.64	-0.28	1419.55	0.24	1.85E-01	3.22E-01		73.01	-0.02	2076.64	0.15	8.18E-01	9.71E-01		0.284955188
MSTRG.42	CP_supported		II	StringTie	transcript	532481	533085	604	+	YBR143C	-	SUP45	YBR144C	-	YBR144C	14.03	-0.13	318.88	0.28	4.73E-01	7.05E-01	13.88	-0.65	259.67	0.37	2.64E-02	7.14E-02		24.43	-0.08	382.00	0.19	4.67E-01	7.63E-01		0.648780374
